Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1915,36.8,44.2,39.5,57.7,63.6,73,75.4,73,70.3,59.3,50.4,42.5
1916,39,44.9,54.3,54.6,67.5,76.1,77.4,75.9,68.1,58.5,45.5,38.8
1917,39.1,42,48.5,58.3,63.2,75.5,80.6,78.4,71.1,58.2,51.2,37.3
1918,32.3,47.5,54.4,56.8,68.7,76.9,79.5,78.2,66.4,61.5,44.3,36.6
1919,34.3,42.3,49.4,58.4,64.7,69.9,75.8,77.8,71.3,60.9,45.7,39.7
1920,36.2,41.9,48.4,53.5,63.8,68.5,78.1,73,71.4,61.6,45.2,41.4
1921,45.1,44.7,56.3,57.7,69,73,78.5,79.2,74.5,61.7,52,46
1922,38,43.9,49,58.1,67.1,73.1,79.5,80.2,72.5,59.8,49.2,43.8
1923,47.4,40.7,46.1,58.3,67.3,75,78.8,77.3,71.8,55.1,46.6,39.3
1924,33.8,41.1,46.3,58.3,64.9,81.2,79.4,80.6,69.5,61.6,52.5,37
1925,37.6,49.5,56.9,64.9,68.1,78.8,80.6,75.2,70.3,56.8,48.5,38.6
1926,37.4,49.1,48.1,55,66.6,75.4,77.9,76.8,71.8,62.5,48.4,40.2
1927,43.5,49.2,52,62.6,73.7,75,78.7,78.9,70.9,62.4,55.4,37.7
1928,42.5,43.6,54.9,58.3,68.3,78.4,79,74.5,69.6,63.5,47.2,42
1929,40.6,35.9,52.1,62.7,66.7,78,79.3,80.2,71,62,42.5,43.6
1930,30.7,50.6,49.4,65.8,67.7,76.9,80.4,80.7,75.9,60.4,49.5,38.6
1931,41.9,47,46.7,56.7,65.6,78.9,79.6,76.9,77.5,64.9,52,41.6
1932,40,51.5,48.6,62.5,67.5,76.5,78.9,77.2,67.1,59.1,48.4,34.2
1933,44.4,40.3,53.9,59,68.6,78.2,81.6,79,76.2,65,52.5,48
1934,42.5,46,51.8,63.3,71.5,81.2,83.3,81.6,73.5,66.2,53.3,44.2
1935,46.1,45.3,57.2,62.4,65.5,75.4,78.6,80.1,66.5,63.3,48.6,40.9
1936,38.9,40.8,55.4,59.9,69.3,78.7,80,80.5,70.1,58.1,47.6,44.7
1937,36.7,44.4,47.3,60,70.6,76.6,80.5,79.9,71.7,62,48.6,41.9
1938,43.5,48.2,56.1,60.4,70.5,75.8,77.7,79.2,73.1,64.9,48.9,43
1939,43.2,40,54.5,62,70.4,80.2,80.8,77.6,75.1,63.8,48,45
1940,34,44.6,54.8,61.5,69.3,75,82.6,77.8,73.7,63.8,48.3,44.5
1941,43.3,43.9,47.2,59,68.5,73.8,77.3,77.6,71.3,62.1,50.4,44
1942,39.8,43.5,51.5,61.1,69.2,77.3,77.7,76,67.3,59.1,54.6,42.9
1943,41.9,48.1,50.4,65,68,77,78.7,82.3,71.5,60,48.1,39.7
1944,41.1,46.3,51.5,59.7,68.7,78.8,78.8,79.2,70.6,61.9,50.4,38.8
1945,41.2,45.9,55,57.7,72.4,77.8,77,78.2,72.1,57.2,50,42.6
1946,38.3,45.9,54.5,67.1,67.8,77.5,80.8,80.2,70.4,62.8,49.8,46.4
1947,37.4,37.7,45,56.7,66.6,78.3,80.1,78.3,73.3,66,43.3,42
1948,36.1,40.6,45.5,65.4,69.5,78.9,80.2,79.8,71.5,59.8,45.7,43.8
1949,31.3,43.4,51,57.1,68.9,76,79.8,76,69.7,58.8,54.2,41.1
1950,43,47.6,49.9,59.4,68.1,77.5,76.1,75.8,68.7,64.9,48.3,40.2
1951,37.5,44.1,48.9,57.2,68.5,76.1,82,79.9,72.1,61.8,45,42.3
1952,44.4,44.3,47.8,57.6,68.1,80.6,77.7,81.6,69.7,58.6,44.7,40.3
1953,46.6,42.7,55.2,58.1,67.1,83.1,80.6,78.3,72,61.2,49.1,38.2
